from_name,from_type,relation,to_name,to_type
Ahitub,person,FATHER_OF,Ahimelech,person
Barachel,person,FATHER_OF,Elihu,person
Azur,person,FATHER_OF,Jaazaniah,person
Benaiah,person,FATHER_OF,Pelatiah,person
Shaphan,person,FATHER_OF,Jaazaniah,person
Jair,person,FATHER_OF,Elhanan,person
Ahilud,person,FATHER_OF,Jehoshaphat,person
Ahitub,person,FATHER_OF,Zadok,person
Abiathar,person,FATHER_OF,Abimelech,person
Maachah,person,FATHER_OF,Absalom,person
Dodo,person,FATHER_OF,Eleazar,person
Dodo,person,FATHER_OF,Elhanan,person
Ikkesh,person,FATHER_OF,Ira,person
Baanah,person,FATHER_OF,Heled,person
Ribai,person,FATHER_OF,Ithai,person
Shage,person,FATHER_OF,Jonathan,person
Sacar,person,FATHER_OF,Ahiam,person
Ur,person,FATHER_OF,Eliphal,person
Ezbai,person,FATHER_OF,Naarai,person
Haggeri,person,FATHER_OF,Mibhar,person
Ahlai,person,FATHER_OF,Zabad,person
Shiza,person,FATHER_OF,Adina,person
Maachah,person,FATHER_OF,Hanan,person
Shimri,person,FATHER_OF,Jediael,person
Nahash,person,FATHER_OF,Hanun,person
Zerahiah,person,FATHER_OF,Meraioth,person
Meraioth,person,FATHER_OF,Amariah,person
Amariah,person,FATHER_OF,Ahitub,person
Zadok,person,FATHER_OF,Shallum,person
Shallum,person,FATHER_OF,Hilkiah,person
Seraiah,person,FATHER_OF,JEHOZADAK,person
Shemuel,person,FATHER_OF,Joel,person
Toah,person,FATHER_OF,Eliel,person
Amasai,person,FATHER_OF,Mahath,person
Joel,person,FATHER_OF,Elkanah,person
Zephaniah,person,FATHER_OF,Azariah,person
Assir,person,FATHER_OF,Tahath,person
Israel,person,FATHER_OF,Levi,person
Shimea,person,FATHER_OF,Berachiah,person
Baaseiah,person,FATHER_OF,Michael,person
Zerah,person,FATHER_OF,Ethni,person
Zimmah,person,FATHER_OF,Ethan,person
Gershom,person,FATHER_OF,Jahath,person
Abdi,person,FATHER_OF,Kishi,person
Amaziah,person,FATHER_OF,Hashabiah,person
Bani,person,FATHER_OF,Amzi,person
Mushi,person,FATHER_OF,Mahli,person
Berachiah,person,FATHER_OF,Asaph,person
Ram,person,FATHER_OF,Amminadab,person
Amminadab,person,FATHER_OF,Nahshon,person
Nahshon,person,FATHER_OF,Salma,person
Salma,person,FATHER_OF,Boaz,person
Uri,person,FATHER_OF,Bezaleel,person
Sisamai,person,FATHER_OF,Shallum,person
Shallum,person,FATHER_OF,Jekamiah,person
Jekamiah,person,FATHER_OF,Elishama,person
Shammai,person,FATHER_OF,And,person
Kore,person,FATHER_OF,Meshelemiah,person
Moses,person,FATHER_OF,Gershom,person
Gershom,person,FATHER_OF,Shebuel,person
Machir,person,FATHER_OF,Gilead,person
Israel,person,FATHER_OF,Joseph,person
Heber,person,FATHER_OF,Japhlet,person
Benjamin,person,FATHER_OF,Bela,person
Jonathan,person,FATHER_OF,And,person
MERIB-BAAL,person,FATHER_OF,Micah,person
Ahaz,person,FATHER_OF,Jehoadah,person
Jehoadah,person,FATHER_OF,Alemeth,person
Zimri,person,FATHER_OF,Moza,person
Zabdiel,person,FATHER_OF,Jashobeam,person
Zichri,person,FATHER_OF,Eliezer,person
Maachah,person,FATHER_OF,Shephatiah,person
Kemuel,person,FATHER_OF,Hashabiah,person
Michael,person,FATHER_OF,Omri,person
Obadiah,person,FATHER_OF,Ishmaiah,person
Azriel,person,FATHER_OF,Jerimoth,person
Azaziah,person,FATHER_OF,Hoshea,person
Pedaiah,person,FATHER_OF,Joel,person
Zechariah,person,FATHER_OF,Iddo,person
Abner,person,FATHER_OF,Jaasiel,person
Jeroham,person,FATHER_OF,Azareel,person
Adiel,person,FATHER_OF,Azmaveth,person
Uzziah,person,FATHER_OF,Jehonathan,person
Chelub,person,FATHER_OF,Ezri,person
Adlai,person,FATHER_OF,Shaphat,person
Hachmoni,person,FATHER_OF,Jehiel,person
Benaiah,person,FATHER_OF,Jehoiada,person
Omri,person,FATHER_OF,Ammihud,person
Bani,person,FATHER_OF,Imri,person
Hodaviah,person,FATHER_OF,Meshullam,person
Michri,person,FATHER_OF,Uzzi,person
Reuel,person,FATHER_OF,Shephathiah,person
Pashur,person,FATHER_OF,Jeroham,person
Jahzerah,person,FATHER_OF,Adiel,person
Meshillemith,person,FATHER_OF,Meshullam,person
Azrikam,person,FATHER_OF,Hasshub,person
Adiel,person,FATHER_OF,Maasiai,person
Zichri,person,FATHER_OF,Micah,person
Galal,person,FATHER_OF,Shemaiah,person
Elkanah,person,FATHER_OF,Asa,person
Ebiasaph,person,FATHER_OF,Kore,person
Micah,person,FATHER_OF,Mattaniah,person
Kore,person,FATHER_OF,Shallum,person
Mikloth,person,FATHER_OF,SHIMEAM,person
Shema,person,FATHER_OF,Azaz,person
Jaroah,person,FATHER_OF,Huri,person
Michael,person,FATHER_OF,Gilead,person
Jahdo,person,FATHER_OF,Jeshishai,person
Guni,person,FATHER_OF,Abdiel,person
Canaan,person,FATHER_OF,Zidon,person
Bedad,person,FATHER_OF,Hadad,person
Matred,person,FATHER_OF,Mehetabel,person
Nethaneel,person,FATHER_OF,Shemaiah,person
Abiathar,person,FATHER_OF,Ahimelech,person
Joel,person,FATHER_OF,Heman,person
Berechiah,person,FATHER_OF,Asaph,person
Kushaiah,person,FATHER_OF,Ethan,person
Meonothai,person,FATHER_OF,Ophrah,person
Seraiah,person,FATHER_OF,Josibiah,person
Allon,person,FATHER_OF,Shiphi,person
Shimri,person,FATHER_OF,Jedaiah,person
Hizkiah,person,FATHER_OF,Amariah,person
Reuben,person,FATHER_OF,Bohan,person
Jephunneh Hebron,person,FATHER_OF,Caleb,person
Zerah,person,FATHER_OF,Achan,person
Zippor,person,FATHER_OF,Balak,person
Beor,person,FATHER_OF,Balaam,person
Bichri,person,FATHER_OF,Sheba,person
Abital,person,FATHER_OF,Shephatiah,person
Aiah,person,FATHER_OF,Rizpah,person
Laish,person,FATHER_OF,Phaltiel,person
Gera,person,FATHER_OF,Shimei,person
Eliam,person,FATHER_OF,BATH-SHEBA,people
Jerubbesheth,person,FATHER_OF,Abimelech,person
Nahash,person,FATHER_OF,Shobi,person
Ammiel,person,FATHER_OF,Machir,person
Saul,person,FATHER_OF,Mephibosheth,person
Saul,person,FATHER_OF,Ish-bosheth,person
Rehob,person,FATHER_OF,Hadadezer,person
Ammihud,person,FATHER_OF,Talmai,person
Jonathan,person,FATHER_OF,Mephibosheth,person
Barzillai,person,FATHER_OF,Adriel,person
Jaare-oregim,person,FATHER_OF,Elhanan,person
Shimea,person,FATHER_OF,Jonathan,person
Agee,person,FATHER_OF,Shammah,person
Baanah,person,FATHER_OF,Heleb,person
Ribai,person,FATHER_OF,Ittai,person
Sharar,person,FATHER_OF,Ahiam,person
Ahasbai,person,FATHER_OF,Eliphelet,person
Ahithophel,person,FATHER_OF,Eliam,person
Nathan,person,FATHER_OF,Igal,person
Abiathar,person,FATHER_OF,Jonathan,person
Zephaniah,person,FATHER_OF,Josiah,person
Josedech,person,FATHER_OF,Joshua,person
Salu,person,FATHER_OF,Zimri,person
Zur,person,FATHER_OF,Cozbi,person
Lael,person,FATHER_OF,Eliasaph,person
Uzziel,person,FATHER_OF,Elizaphan,person
Abihail,person,FATHER_OF,Zuriel,person
Peleth,person,FATHER_OF,On,person
Zuar,person,FATHER_OF,Nethaneel,person
