neo4j_id,name,type,reason
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2823,Mark 6:32,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2837,D&C 30:9,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2838,Alma 5:31,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2850,Alma 4:10,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2851,Alma 60:30,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2867,Alma 45:9,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2880,Luke 13:33,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2881,Alma 37:30,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2899,Mosiah 13:2–8,period,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2903,Alma 27:12,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2907,John 6:6,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2914,John 16:25,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2923,Alma 12:36,period,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2939,D&C 134:8,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2943,Luke 15:1,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2952,Alma 4:19.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2961,Alma 30:10,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2972,John 2:6,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2973,John 11:55,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2983,Luke 16:19,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2988,Alma 37:2–19,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3003,Mark 6:19,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3015,Luke 20:40,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3060,Luke 23:39,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3074,Rev. 4:3,period,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3077,Luke 20:37.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3094,Luke 4:16,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3101,Mark 14:38,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3103,John 7:6,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3109,John 4:38,person,scripture_ref
